school,tweet_count
SMK Negeri 1 Jakarta,81
SMA Negeri 2 Denpasar,79
SMA Negeri 2 Depok,74
SMK Negeri 1 Depok,73
SMK Negeri 2 Surakarta,73
SMP Swasta ABC Palembang,72
SMP Negeri 2 Malang,71
SMP Negeri 2 Bekasi,71
SMP Negeri 3 Jakarta,71
SMA Negeri 1 Makassar,71
SMA Negeri 3 Malang,70
SMP Swasta ABC Bekasi,70
SMA Negeri 2 Surakarta,70
SMP Negeri 1 Yogyakarta,70
SMK Negeri 2 Denpasar,70
SMA Swasta XYZ Palembang,69
SMA Negeri 3 Jakarta,69
SMP Negeri 2 Medan,69
SMP Negeri 4 Yogyakarta,69
SMA Negeri 3 Semarang,69
