alert_id,tweet_id,school,city,risk_level,risk_score,sentiment,category,status,created_at,alert_type,priority
alert_dummy_1_1765677992_1765677996,dummy_1_1765677992,SMA Swasta XYZ Tangerang,Tangerang,merah,16.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_2_1765677992_1765677996,dummy_2_1765677992,SMA Swasta XYZ Makassar,Makassar,merah,15.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_3_1765677992_1765677996,dummy_3_1765677992,SMA Negeri 1 Tangerang,Tangerang,merah,15.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_5_1765677992_1765677996,dummy_5_1765677992,SMK Negeri 2 Palembang,Palembang,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_12_1765677992_1765677996,dummy_12_1765677992,SMP Negeri 2 Surabaya,Surabaya,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_13_1765677992_1765677996,dummy_13_1765677992,SMP Negeri 2 Depok,Depok,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_15_1765677992_1765677996,dummy_15_1765677992,SMP Negeri 4 Denpasar,Denpasar,merah,8.0,netral,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_21_1765677992_1765677996,dummy_21_1765677992,SMP Swasta ABC Bekasi,Bekasi,merah,18.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_22_1765677992_1765677996,dummy_22_1765677992,SMA Negeri 4 Depok,Depok,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_23_1765677992_1765677996,dummy_23_1765677992,SMA Swasta XYZ Medan,Medan,merah,14.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_25_1765677992_1765677996,dummy_25_1765677992,SMP Swasta ABC Tangerang,Tangerang,merah,16.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_30_1765677992_1765677996,dummy_30_1765677992,SMP Negeri 1 Bandung,Bandung,merah,14.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_32_1765677992_1765677996,dummy_32_1765677992,SMA Negeri 1 Makassar,Makassar,merah,18.0,negatif,pelaku,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_34_1765677992_1765677996,dummy_34_1765677992,SMA Negeri 2 Depok,Depok,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_38_1765677992_1765677996,dummy_38_1765677992,SMP Negeri 1 Bekasi,Bekasi,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_40_1765677992_1765677996,dummy_40_1765677992,SMP Negeri 3 Surabaya,Surabaya,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_41_1765677992_1765677996,dummy_41_1765677992,SMK Negeri 2 Denpasar,Denpasar,merah,18.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_43_1765677992_1765677996,dummy_43_1765677992,SMK Negeri 2 Jakarta,Jakarta,merah,12.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_45_1765677992_1765677996,dummy_45_1765677992,SMP Negeri 3 Denpasar,Denpasar,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_47_1765677992_1765677996,dummy_47_1765677992,SMK Negeri 1 Depok,Depok,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_48_1765677992_1765677996,dummy_48_1765677992,SMK Negeri 2 Palembang,Palembang,merah,15.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_51_1765677992_1765677996,dummy_51_1765677992,SMA Negeri 4 Makassar,Makassar,merah,18.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_52_1765677992_1765677996,dummy_52_1765677992,SMA Swasta XYZ Medan,Medan,merah,12.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_53_1765677992_1765677996,dummy_53_1765677992,SMA Swasta XYZ Medan,Medan,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_56_1765677992_1765677996,dummy_56_1765677992,SMP Negeri 4 Mataram,Mataram,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_58_1765677992_1765677996,dummy_58_1765677992,SMP Negeri 1 Bandung,Bandung,merah,17.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_63_1765677992_1765677996,dummy_63_1765677992,SMP Negeri 1 Malang,Malang,merah,18.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_66_1765677992_1765677996,dummy_66_1765677992,SMP Negeri 1 Bekasi,Bekasi,merah,15.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_67_1765677992_1765677996,dummy_67_1765677992,SMK Negeri 1 Makassar,Makassar,merah,18.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_68_1765677992_1765677996,dummy_68_1765677992,SMA Negeri 2 Bandung,Bandung,merah,16.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_70_1765677992_1765677996,dummy_70_1765677992,SMP Negeri 4 Bandung,Bandung,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_71_1765677992_1765677996,dummy_71_1765677992,SMA Swasta XYZ Makassar,Makassar,merah,10.0,netral,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_72_1765677992_1765677996,dummy_72_1765677992,SMA Swasta XYZ Semarang,Semarang,merah,12.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_75_1765677992_1765677996,dummy_75_1765677992,SMA Negeri 3 Semarang,Semarang,merah,18.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_76_1765677992_1765677996,dummy_76_1765677992,SMA Negeri 2 Surakarta,Surakarta,merah,18.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_77_1765677992_1765677996,dummy_77_1765677992,SMP Negeri 2 Malang,Malang,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_78_1765677992_1765677996,dummy_78_1765677992,SMK Negeri 2 Mataram,Mataram,merah,10.0,netral,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_79_1765677992_1765677996,dummy_79_1765677992,SMA Negeri 3 Depok,Depok,merah,16.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_81_1765677992_1765677996,dummy_81_1765677992,SMA Negeri 2 Medan,Medan,merah,15.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_87_1765677992_1765677996,dummy_87_1765677992,SMA Negeri 4 Mataram,Mataram,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_88_1765677992_1765677996,dummy_88_1765677992,SMP Negeri 1 Jakarta,Jakarta,merah,15.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_89_1765677992_1765677996,dummy_89_1765677992,SMA Negeri 1 Mataram,Mataram,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_91_1765677992_1765677996,dummy_91_1765677992,SMA Swasta XYZ Bandung,Bandung,merah,13.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_93_1765677992_1765677996,dummy_93_1765677992,SMA Negeri 3 Surakarta,Surakarta,merah,15.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_94_1765677992_1765677996,dummy_94_1765677992,SMA Negeri 4 Depok,Depok,merah,10.0,netral,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_96_1765677992_1765677996,dummy_96_1765677992,SMA Negeri 1 Depok,Depok,merah,21.0,negatif,korban,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_97_1765677992_1765677996,dummy_97_1765677992,SMK Negeri 1 Depok,Depok,merah,15.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_101_1765677992_1765677996,dummy_101_1765677992,SMA Swasta XYZ Makassar,Makassar,merah,11.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_102_1765677992_1765677996,dummy_102_1765677992,SMP Negeri 3 Tangerang,Tangerang,merah,12.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
alert_dummy_105_1765677992_1765677996,dummy_105_1765677992,SMP Negeri 1 Tangerang,Tangerang,merah,16.0,negatif,saksi,new,2025-12-14 10:06:36,tweet_analysis,
