log_id,cctv_id,school,city,location,timestamp,crowd_level,noise_level,is_anomaly,warning_level,processed
,cctv_1,SMA Negeri 1 Malang,Malang,kantin,2025-12-14 08:27:00,43,31,YA,kuning,False
,cctv_33,SMA Negeri 4 Palembang,Palembang,parkir,2025-12-14 10:11:00,73,91,TIDAK,hijau,False
,cctv_24,SMA Negeri 2 Bekasi,Bekasi,kantin,2025-12-14 13:17:00,4,63,TIDAK,hijau,False
,cctv_32,SMA Negeri 1 Makassar,Makassar,kantin,2025-12-14 07:55:00,74,30,YA,kuning,False
,cctv_17,SMA Negeri 1 Medan,Medan,kelas,2025-12-14 15:55:00,1,76,YA,kuning,False
,cctv_30,SMA Negeri 1 Tangerang,Tangerang,kantin,2025-12-14 10:01:00,71,75,TIDAK,hijau,False
,cctv_24,SMA Negeri 3 Tangerang,Tangerang,lorong,2025-12-14 10:23:00,36,79,TIDAK,hijau,False
,cctv_28,SMP Negeri 3 Malang,Malang,gerbang,2025-12-14 10:14:00,13,44,TIDAK,hijau,False
,cctv_11,SMP Negeri 2 Denpasar,Denpasar,toilet,2025-12-14 07:46:00,63,47,YA,kuning,False
,cctv_3,SMA Negeri 3 Makassar,Makassar,kelas,2025-12-14 07:58:00,46,48,YA,kuning,False
,cctv_42,SMA Negeri 2 Malang,Malang,parkir,2025-12-14 19:27:00,75,56,YA,merah,False
,cctv_36,SMA Negeri 2 Jakarta,Jakarta,toilet,2025-12-14 10:43:00,51,32,TIDAK,hijau,False
,cctv_18,SMP Negeri 4 Semarang,Semarang,parkir,2025-12-14 10:20:00,23,37,TIDAK,hijau,False
,cctv_19,SMA Negeri 4 Semarang,Semarang,lapangan,2025-12-14 07:04:00,56,60,YA,kuning,False
,cctv_46,SMA Negeri 3 Yogyakarta,Yogyakarta,lorong,2025-12-14 11:35:00,83,50,YA,kuning,False
,cctv_23,SMK Negeri 2 Jakarta,Jakarta,kelas,2025-12-14 11:43:00,80,82,YA,kuning,False
,cctv_15,SMP Negeri 4 Bandung,Bandung,kantin,2025-12-14 15:55:00,38,61,YA,kuning,False
,cctv_14,SMK Negeri 1 Mataram,Mataram,lapangan,2025-12-14 12:01:00,87,31,TIDAK,hijau,False
,cctv_34,SMA Negeri 3 Makassar,Makassar,toilet,2025-12-14 07:49:00,87,90,YA,merah,False
,cctv_28,SMP Negeri 3 Depok,Depok,kantin,2025-12-14 12:32:00,5,46,TIDAK,hijau,False
,cctv_38,SMA Negeri 4 Semarang,Semarang,kelas,2025-12-14 11:19:00,10,40,TIDAK,hijau,False
,cctv_43,SMK Negeri 2 Makassar,Makassar,lapangan,2025-12-14 10:40:00,38,64,TIDAK,hijau,False
,cctv_31,SMP Negeri 2 Semarang,Semarang,kantin,2025-12-14 12:29:00,32,78,TIDAK,hijau,False
,cctv_28,SMP Swasta ABC Bekasi,Bekasi,gerbang,2025-12-14 13:25:00,28,44,TIDAK,hijau,False
,cctv_20,SMP Negeri 3 Semarang,Semarang,lapangan,2025-12-14 15:59:00,28,54,TIDAK,hijau,False
