tweet_id,text,city,school,sentiment,risk_level,risk_score,category,bullying_detected,created_at,processed_at,retweet_count,like_count
dummy_0_1765677992,uang jajan selalu diambil paksa sama senior,Jakarta,SMK Negeri 2 Jakarta,netral,aman,2.0,unknown,False,2025-11-23 15:35:32,2025-12-14 10:06:36,45,46
dummy_1_1765677992,ada support group untuk korban bullying,Tangerang,SMA Swasta XYZ Tangerang,negatif,merah,16.0,korban,True,2025-12-11 11:36:32,2025-12-14 10:06:36,31,74
dummy_2_1765677992,"gak mau sekolah lagi, trauma di-bully",Makassar,SMA Swasta XYZ Makassar,negatif,merah,15.0,saksi,True,2025-12-12 12:20:32,2025-12-14 10:06:36,41,84
dummy_3_1765677992,ada support group untuk korban bullying #pendidikan,Tangerang,SMA Negeri 1 Tangerang,negatif,merah,15.0,korban,True,2025-11-28 00:01:32,2025-12-14 10:06:36,7,26
dummy_4_1765677992,pentingnya empati di lingkungan sekolah #mentalhealth,Mataram,SMK Negeri 1 Mataram,netral,aman,2.0,unknown,False,2025-11-28 01:45:32,2025-12-14 10:06:36,37,21
dummy_5_1765677992,belajar tentang cyberbullying hari ini,Palembang,SMK Negeri 2 Palembang,negatif,merah,13.0,saksi,True,2025-11-21 19:33:32,2025-12-14 10:06:36,17,64
dummy_6_1765677992,"capek, setiap hari nangis sepulang sekolah",Makassar,SMA Negeri 4 Makassar,netral,aman,2.0,unknown,False,2025-11-21 12:46:32,2025-12-14 10:06:36,27,76
dummy_7_1765677992,merasa lebih aman di sekolah sekarang,Bekasi,SMK Negeri 2 Bekasi,netral,aman,2.0,unknown,False,2025-12-08 06:00:32,2025-12-14 10:06:36,34,51
dummy_8_1765677992,guru BK sangat membantu masalahku,Medan,SMA Negeri 1 Medan,netral,aman,1.0,unknown,False,2025-11-28 15:01:32,2025-12-14 10:06:36,3,32
dummy_9_1765677992,uang jajan selalu diambil paksa sama senior,Surakarta,SMP Swasta ABC Surakarta,netral,aman,2.0,unknown,False,2025-11-16 03:07:32,2025-12-14 10:06:36,19,86
dummy_10_1765677992,di sekolahku ada geng yang suka nakut-nakutin adik kelas,Palembang,SMA Negeri 2 Palembang,netral,aman,1.0,unknown,False,2025-11-15 20:56:32,2025-12-14 10:06:36,0,37
dummy_11_1765677992,uang jajan selalu diambil paksa sama senior @teacher,Surabaya,SMA Negeri 4 Surabaya,netral,aman,2.0,unknown,False,2025-11-18 07:10:32,2025-12-14 10:06:36,19,61
dummy_12_1765677992,"gak kuat lagi, setiap hari dihina di kelas",Surabaya,SMP Negeri 2 Surabaya,negatif,merah,13.0,saksi,True,2025-11-15 08:23:32,2025-12-14 10:06:36,16,84
dummy_13_1765677992,"diancam kalau melapor ke guru, jadi diam aja",Depok,SMP Negeri 2 Depok,negatif,merah,13.0,saksi,True,2025-12-13 06:04:32,2025-12-14 10:06:36,24,67
dummy_14_1765677992,pentingnya empati di lingkungan sekolah,Denpasar,SMP Negeri 1 Denpasar,netral,aman,2.0,unknown,False,2025-11-28 15:59:32,2025-12-14 10:06:36,20,76
dummy_15_1765677992,terima kasih buat guru yang bantu atasi bullying #pendidikan,Denpasar,SMP Negeri 4 Denpasar,netral,merah,8.0,saksi,True,2025-11-16 08:47:32,2025-12-14 10:06:36,12,5
dummy_16_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin",Surakarta,SMP Swasta ABC Surakarta,netral,aman,2.0,unknown,False,2025-11-15 05:14:32,2025-12-14 10:06:36,5,89
dummy_17_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin #sekolah",Surakarta,SMK Negeri 1 Surakarta,netral,aman,2.0,unknown,False,2025-12-10 11:01:32,2025-12-14 10:06:36,41,59
dummy_18_1765677992,pentingnya empati di lingkungan sekolah @school,Malang,SMA Negeri 3 Malang,netral,aman,1.0,unknown,False,2025-11-17 03:10:32,2025-12-14 10:06:36,25,16
dummy_19_1765677992,kerja kelompok hari ini seru,Mataram,SMP Negeri 1 Mataram,netral,aman,2.0,unknown,False,2025-11-26 13:11:32,2025-12-14 10:06:36,37,48
dummy_20_1765677992,kerja kelompok hari ini seru @school,Semarang,SMP Negeri 2 Semarang,netral,aman,2.0,unknown,False,2025-11-16 05:18:32,2025-12-14 10:06:36,33,95
dummy_21_1765677992,sedih liat anak SMP dibully sampai mogok sekolah #pendidikan,Bekasi,SMP Swasta ABC Bekasi,negatif,merah,18.0,saksi,True,2025-11-27 04:30:32,2025-12-14 10:06:36,30,41
dummy_22_1765677992,hari ini ada workshop anti bullying di sekolah,Depok,SMA Negeri 4 Depok,negatif,merah,13.0,saksi,True,2025-11-16 10:27:32,2025-12-14 10:06:36,15,94
dummy_23_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman",Medan,SMA Swasta XYZ Medan,negatif,merah,14.0,saksi,True,2025-11-18 10:55:32,2025-12-14 10:06:36,4,19
dummy_24_1765677992,akhirnya ada teman yang mau dengerin ceritaku #sekolah,Jakarta,SMP Negeri 2 Jakarta,netral,aman,2.0,unknown,False,2025-12-05 06:26:32,2025-12-14 10:06:36,24,57
dummy_25_1765677992,ada support group untuk korban bullying,Tangerang,SMP Swasta ABC Tangerang,negatif,merah,16.0,korban,True,2025-11-25 01:08:32,2025-12-14 10:06:36,43,20
dummy_26_1765677992,kerja kelompok hari ini seru,Jakarta,SMP Negeri 4 Jakarta,netral,aman,1.0,unknown,False,2025-12-12 10:25:32,2025-12-14 10:06:36,14,16
dummy_27_1765677992,ada anak di sekolahku yang sering nangis di toilet sendirian,Malang,SMA Negeri 3 Malang,netral,aman,2.0,unknown,False,2025-11-14 13:37:32,2025-12-14 10:06:36,2,62
dummy_28_1765677992,uang jajan selalu diambil paksa sama senior #mentalhealth,Malang,SMP Negeri 3 Malang,netral,aman,2.0,unknown,False,2025-11-21 17:01:32,2025-12-14 10:06:36,12,61
dummy_29_1765677992,asyik ngerjain orang yang gak bisa melawan,Bandung,SMA Swasta XYZ Bandung,netral,aman,2.0,unknown,False,2025-12-10 17:44:32,2025-12-14 10:06:36,33,88
dummy_30_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman #mentalhealth",Bandung,SMP Negeri 1 Bandung,negatif,merah,14.0,saksi,True,2025-12-08 21:40:32,2025-12-14 10:06:36,18,5
dummy_31_1765677992,asyik ngerjain orang yang gak bisa melawan,Tangerang,SMP Negeri 4 Tangerang,netral,aman,2.0,unknown,False,2025-12-08 05:43:32,2025-12-14 10:06:36,0,93
