text,city,school,sentiment,risk_level,risk_score,category,created_at
uang jajan selalu diambil paksa sama senior,Jakarta,SMK Negeri 2 Jakarta,netral,aman,2,unknown,2025-11-23 15:35
ada support group untuk korban bullying,Tangerang,SMA Swasta XYZ Tangerang,negatif,merah,16,korban,2025-12-11 11:36
"gak mau sekolah lagi, trauma di-bully",Makassar,SMA Swasta XYZ Makassar,negatif,merah,15,saksi,2025-12-12 12:20
ada support group untuk korban bullying #pendidikan,Tangerang,SMA Negeri 1 Tangerang,negatif,merah,15,korban,2025-11-28 00:01
pentingnya empati di lingkungan sekolah #mentalhealth,Mataram,SMK Negeri 1 Mataram,netral,aman,2,unknown,2025-11-28 01:45
belajar tentang cyberbullying hari ini,Palembang,SMK Negeri 2 Palembang,negatif,merah,13,saksi,2025-11-21 19:33
"capek, setiap hari nangis sepulang sekolah",Makassar,SMA Negeri 4 Makassar,netral,aman,2,unknown,2025-11-21 12:46
merasa lebih aman di sekolah sekarang,Bekasi,SMK Negeri 2 Bekasi,netral,aman,2,unknown,2025-12-08 06:00
guru BK sangat membantu masalahku,Medan,SMA Negeri 1 Medan,netral,aman,1,unknown,2025-11-28 15:01
uang jajan selalu diambil paksa sama senior,Surakarta,SMP Swasta ABC Surakarta,netral,aman,2,unknown,2025-11-16 03:07
