cctv_id,school,city,location,timestamp,crowd_level,noise_level,is_anomaly
cctv_1,SMA Negeri 1 Malang,Malang,kantin,2025-12-14 08:27,43,31,YA
cctv_33,SMA Negeri 4 Palembang,Palembang,parkir,2025-12-14 10:11,73,91,TIDAK
cctv_24,SMA Negeri 2 Bekasi,Bekasi,kantin,2025-12-14 13:17,4,63,TIDAK
cctv_32,SMA Negeri 1 Makassar,Makassar,kantin,2025-12-14 07:55,74,30,YA
cctv_17,SMA Negeri 1 Medan,Medan,kelas,2025-12-14 15:55,1,76,YA
cctv_30,SMA Negeri 1 Tangerang,Tangerang,kantin,2025-12-14 10:01,71,75,TIDAK
cctv_24,SMA Negeri 3 Tangerang,Tangerang,lorong,2025-12-14 10:23,36,79,TIDAK
cctv_28,SMP Negeri 3 Malang,Malang,gerbang,2025-12-14 10:14,13,44,TIDAK
cctv_11,SMP Negeri 2 Denpasar,Denpasar,toilet,2025-12-14 07:46,63,47,YA
cctv_3,SMA Negeri 3 Makassar,Makassar,kelas,2025-12-14 07:58,46,48,YA
cctv_42,SMA Negeri 2 Malang,Malang,parkir,2025-12-14 19:27,75,56,YA
cctv_36,SMA Negeri 2 Jakarta,Jakarta,toilet,2025-12-14 10:43,51,32,TIDAK
cctv_18,SMP Negeri 4 Semarang,Semarang,parkir,2025-12-14 10:20,23,37,TIDAK
cctv_19,SMA Negeri 4 Semarang,Semarang,lapangan,2025-12-14 07:04,56,60,YA
cctv_46,SMA Negeri 3 Yogyakarta,Yogyakarta,lorong,2025-12-14 11:35,83,50,YA
cctv_23,SMK Negeri 2 Jakarta,Jakarta,kelas,2025-12-14 11:43,80,82,YA
cctv_15,SMP Negeri 4 Bandung,Bandung,kantin,2025-12-14 15:55,38,61,YA
cctv_14,SMK Negeri 1 Mataram,Mataram,lapangan,2025-12-14 12:01,87,31,TIDAK
cctv_34,SMA Negeri 3 Makassar,Makassar,toilet,2025-12-14 07:49,87,90,YA
cctv_28,SMP Negeri 3 Depok,Depok,kantin,2025-12-14 12:32,5,46,TIDAK
cctv_38,SMA Negeri 4 Semarang,Semarang,kelas,2025-12-14 11:19,10,40,TIDAK
cctv_43,SMK Negeri 2 Makassar,Makassar,lapangan,2025-12-14 10:40,38,64,TIDAK
cctv_31,SMP Negeri 2 Semarang,Semarang,kantin,2025-12-14 12:29,32,78,TIDAK
cctv_28,SMP Swasta ABC Bekasi,Bekasi,gerbang,2025-12-14 13:25,28,44,TIDAK
cctv_20,SMP Negeri 3 Semarang,Semarang,lapangan,2025-12-14 15:59,28,54,TIDAK
cctv_24,SMA Negeri 4 Palembang,Palembang,gerbang,2025-12-14 10:41,84,86,TIDAK
cctv_27,SMA Swasta XYZ Palembang,Palembang,kantin,2025-12-14 06:25,45,77,YA
cctv_40,SMP Swasta ABC Bandung,Bandung,lorong,2025-12-14 13:15,41,42,YA
cctv_32,SMP Swasta ABC Bandung,Bandung,kantin,2025-12-14 07:07,93,83,YA
cctv_48,SMA Negeri 2 Denpasar,Denpasar,kantin,2025-12-14 12:46,82,89,TIDAK
cctv_45,SMA Negeri 2 Medan,Medan,lapangan,2025-12-14 10:27,8,47,TIDAK
cctv_25,SMP Negeri 2 Tangerang,Tangerang,lapangan,2025-12-14 12:55,27,75,TIDAK
cctv_17,SMP Negeri 2 Mataram,Mataram,kelas,2025-12-14 15:15,29,94,YA
cctv_13,SMP Negeri 1 Depok,Depok,kantin,2025-12-14 12:53,33,61,TIDAK
cctv_42,SMP Negeri 4 Bandung,Bandung,lorong,2025-12-14 10:08,40,90,TIDAK
cctv_47,SMP Swasta ABC Denpasar,Denpasar,kelas,2025-12-14 12:03,26,52,TIDAK
cctv_28,SMA Negeri 2 Jakarta,Jakarta,parkir,2025-12-14 17:04,72,81,YA
cctv_36,SMA Negeri 2 Yogyakarta,Yogyakarta,kantin,2025-12-14 19:05,28,30,YA
cctv_15,SMA Negeri 1 Tangerang,Tangerang,gerbang,2025-12-14 15:48,88,63,YA
cctv_43,SMK Negeri 2 Denpasar,Denpasar,kantin,2025-12-14 10:19,73,48,TIDAK
cctv_8,SMP Negeri 2 Depok,Depok,lorong,2025-12-14 15:07,80,50,YA
cctv_11,SMP Negeri 2 Bandung,Bandung,gerbang,2025-12-14 12:28,98,98,TIDAK
cctv_47,SMP Negeri 1 Palembang,Palembang,kelas,2025-12-14 12:04,24,34,TIDAK
cctv_13,SMP Negeri 4 Depok,Depok,toilet,2025-12-14 10:14,37,33,TIDAK
cctv_17,SMA Negeri 4 Mataram,Mataram,parkir,2025-12-14 21:48,65,79,YA
cctv_8,SMK Negeri 2 Depok,Depok,lapangan,2025-12-14 11:35,86,42,YA
cctv_40,SMP Swasta ABC Makassar,Makassar,toilet,2025-12-14 10:28,16,39,TIDAK
cctv_18,SMA Negeri 4 Bandung,Bandung,kelas,2025-12-14 07:44,58,80,YA
cctv_30,SMA Negeri 4 Surabaya,Surabaya,kelas,2025-12-14 07:42,47,99,YA
cctv_42,SMA Negeri 4 Tangerang,Tangerang,toilet,2025-12-14 12:53,65,39,TIDAK
